Accel X,Accel Y,Accel Z,MoCap X,Mocap Y,Mocap Z,Classification
-1.321662,2.259372,-0.523321,2.278500,1.234000,-0.444000,1
-1.360889,2.220145,-0.523321,2.278100,1.233800,-0.443800,1
-1.360889,2.220145,-0.523321,2.277800,1.233700,-0.443600,1
-1.321662,2.063239,-0.523321,2.277400,1.233600,-0.443500,1
-1.164756,1.945559,-0.444867,2.277100,1.233500,-0.443400,1
-1.164756,1.867105,-0.405642,2.276800,1.233300,-0.443200,1
-1.164756,1.867105,-0.405642,2.276500,1.233200,-0.443000,1
-1.243209,1.867105,-0.484094,2.276300,1.233000,-0.442900,1
-1.243209,1.827879,-0.484094,2.276000,1.232800,-0.442700,1
-1.282436,1.788652,-0.405642,2.275800,1.232600,-0.442600,1
-1.321662,1.749426,-0.444867,2.275600,1.232500,-0.442500,1
-1.321662,1.631746,-0.405642,2.275500,1.232300,-0.442300,1
-1.321662,1.514066,-0.327188,2.275400,1.232200,-0.442200,1
-1.282436,1.474840,-0.366415,2.275300,1.232000,-0.442200,1
-1.243209,1.474840,-0.366415,2.275300,1.231900,-0.442200,1
-1.243209,1.474840,-0.366415,2.275300,1.231700,-0.442100,1
-1.282436,1.474840,-0.366415,2.275400,1.231500,-0.442100,1
-1.282436,1.514066,-0.366415,2.275400,1.231400,-0.442100,1
-1.282436,1.514066,-0.366415,2.275500,1.231200,-0.442100,1
-1.321662,1.592519,-0.287961,2.275600,1.231200,-0.442100,1
-1.282436,1.631746,-0.248734,2.275700,1.231000,-0.442100,1
-1.321662,1.631746,-0.327188,2.275700,1.230900,-0.442100,1
-1.321662,1.631746,-0.327188,2.275800,1.230700,-0.442100,1
-1.321662,1.592519,-0.405642,2.275900,1.230600,-0.442100,1
-1.282436,1.553293,-0.405642,2.275900,1.230500,-0.442100,1
-1.282436,1.553293,-0.405642,2.276100,1.230400,-0.442100,1
-1.321662,1.474840,-0.405642,2.276100,1.230300,-0.442200,1
-1.282436,1.435613,-0.366415,2.276100,1.230200,-0.442100,1
-1.282436,1.435613,-0.444867,2.276200,1.230100,-0.442100,1
-1.321662,1.514066,-0.405642,2.276200,1.230100,-0.442100,1
-1.321662,1.514066,-0.405642,2.276200,1.230000,-0.442100,1
-1.243209,1.553293,-0.405642,2.276200,1.229900,-0.442100,1
-1.282436,1.592519,-0.444867,2.276200,1.229900,-0.442000,1
-1.321662,1.631746,-0.405642,2.276300,1.229700,-0.442000,1
-1.321662,1.670973,-0.444867,2.276300,1.229700,-0.442000,1
-1.321662,1.670973,-0.444867,2.276300,1.229700,-0.441900,1
-1.321662,1.592519,-0.484094,2.276300,1.229700,-0.441900,1
-1.360889,1.592519,-0.523321,2.276300,1.229700,-0.441800,1
-1.400115,1.631746,-0.405642,2.276300,1.229600,-0.441800,1
-1.400115,1.631746,-0.405642,2.276300,1.229600,-0.441700,1
-1.360889,1.631746,-0.444867,2.276300,1.229600,-0.441700,1
-1.321662,1.670973,-0.444867,2.276200,1.229600,-0.441600,1
-1.321662,1.670973,-0.444867,2.276200,1.229700,-0.441500,1
-1.360889,1.670973,-0.484094,2.276100,1.229600,-0.441500,1
-1.360889,1.710199,-0.444867,2.276000,1.229600,-0.441400,1
